Municipio,Valor_Tasado,Num_Tasaciones,Periodo,Trimestre,Año,Mes,Fecha,Valor_Tasado_Madrid,Valor_Tasado_España,Dif_Madrid,Dif_España,Pct_Madrid,Pct_España
Valdemoro,2155.1,696,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-718.8000000000002,267.5,-25.011308674623344,14.171434625980073
Villaviciosa De Odón,2796.1,120,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-77.80000000000018,908.5,-2.7071227252166152,48.129900402627676
Alcalá De Henares,2719.3,1322,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-183.39999999999964,777.0000000000002,-6.318255417370022,40.00411882819339
Alcobendas,3317.1,404,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,414.4000000000001,1374.8,14.276363385813218,70.78206250321783
Alcorcón,3002.6,816,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,99.90000000000009,1060.3,3.4416233162228194,54.58991916799671
Aranjuez,2258.1,416,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-644.5999999999999,315.79999999999995,-22.206910807179526,16.25907429336353
Arganda Del Rey,2307.3,408,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-595.3999999999996,365.0000000000002,-20.511937161952652,18.79215363229163
Boadilla Del Monte,2966.5,219,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,63.80000000000018,1024.2,2.1979536293795565,52.73129794573443
Collado Villalba,2539.3,519,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-363.39999999999964,597.0000000000002,-12.519378509663404,30.736755393090686
Colmenar Viejo,2623.4,254,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-279.2999999999997,681.1000000000001,-9.622075998208556,35.06667353138033
Coslada,2911.5,509,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,8.800000000000182,969.2,0.3031660178454576,49.899603562786396
Fuenlabrada,2516.2,1285,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-386.5,573.8999999999999,-13.315189306507735,29.547443752252466
Galapagar,2405.3,291,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-497.39999999999964,463.0000000000002,-17.135770145037366,23.837718169180878
Getafe,3035.7,825,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,133.0,1093.3999999999999,4.581940951527885,56.29408433300724
Leganés,2824.5,971,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-78.19999999999982,882.2,-2.6940434767630084,45.42037790248674
Madrid,3699.7,16638,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,797.0,1757.3999999999999,27.457195025321248,90.48035833805281
Majadahonda,3225.7,354,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,323.0,1283.3999999999999,11.127570882282022,66.07630129228235
Móstoles,2572.7,1185,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-330.0,630.3999999999999,-11.368725669204538,32.45636616382639
Parla,2397.9,1005,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-504.7999999999997,455.60000000000014,-17.390705205498325,23.456726561293316
Pinto,2557.3,258,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-345.39999999999964,615.0000000000002,-11.899266200434067,31.663491736600946
Pozuelo De Alarcón,3328.7,299,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,426.0,1386.3999999999999,14.675991318427673,71.3792925912578
Rivas-Vaciamadrid,2342.5,297,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-560.1999999999998,400.20000000000005,-19.299273090570846,20.60443803737837
Rozas De Madrid (Las),3264.5,549,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,361.8000000000002,1322.2,12.464257415509694,68.07393296607115
San Fernando De Henares,2966.8,269,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,64.10000000000036,1024.5000000000002,2.2082888345333673,52.74674355145963
San Sebastián De Los Reyes,3215.9,626,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,313.2000000000003,1273.6000000000001,10.789954180590499,65.57174483859343
Torrejón De Ardoz,2562.3,979,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-340.39999999999964,620.0000000000002,-11.727012781203694,31.920918498687143
Tres Cantos,2572.5,233,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-330.1999999999998,630.2,-11.375615805973737,32.446069093342956
Valdemoro,2242.5,885,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-660.1999999999998,300.20000000000005,-22.744341475178274,15.45590279565463
Villaviciosa De Odón,2627.1,136,T2A2006 ,2,2006,6,2006-06-30,2902.7,1942.3,-275.5999999999999,684.8,-9.494608467978082,35.2571693353241
Alcalá De Henares,2724.7,677,T3A2006 ,3,2006,9,2006-09-30,2915.8,1956.7,-191.10000000000036,767.9999999999998,-6.5539474586734485,39.249757244339946
Alcobendas,3485.0,331,T3A2006 ,3,2006,9,2006-09-30,2915.8,1956.7,569.1999999999998,1528.3,19.521229165237663,78.10599478714163
Alcorcón,2971.1,450,T3A2006 ,3,2006,9,2006-09-30,2915.8,1956.7,55.29999999999973,1014.3999999999999,1.8965635503120915,51.84238769356568
Aranjuez,2378.3,216,T3A2006 ,3,2006,9,2006-09-30,2915.8,1956.7,-537.5,421.60000000000014,-18.434048974552443,21.546481320590804
Arganda Del Rey,2356.3,171,T3A2006 ,3,2006,9,2006-09-30,2915.8,1956.7,-559.5,399.60000000000014,-19.188558886069007,20.422139316195633
Boadilla Del Monte,3104.7,189,T3A2006 ,3,2006,9,2006-09-30,2915.8,1956.7,188.89999999999964,1147.9999999999998,6.478496467521766,58.67021004752899
Collado Villalba,2621.7,364,T3A2006 ,3,2006,9,2006-09-30,2915.8,1956.7,-294.10000000000036,664.9999999999998,-10.086425680773726,33.98579240558082
Colmenar Viejo,2688.8,145,T3A2006 ,3,2006,9,2006-09-30,2915.8,1956.7,-227.0,732.1000000000001,-7.785170450648193,37.41503551898606
